shortname,website,region,rating_google,reviews,field_lcp,field_cls,field_inp,field_fcp,field_speed_problem,field_ux_problem,perf_score,issues,category,accessibility,best_practices,seo,concatenated_reviews,title,mobile,mobile_lcp,mobile_cls,mobile_inp,desktop,desktop_lcp,desktop_cls,desktop_inp,lab_speed_problem,lab_ux_problem,fh_score,rating,img_sav_kb,js_sav_kb,css_sav_kb,photo_url,fh_site,account_tier,latitude,longitude
festrail.co.uk,https://festrail.co.uk,EMEA,n/a,n/a,n/a,n/a,n/a,n/a,⚪ n/a,⚪ n/a,n/a,Analysis timed out,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,⚪ n/a,⚪ n/a,n/a,Error,n/a,n/a,n/a,n/a,Yes,4,n/a,n/a
myhealthyway.co.uk,https://myhealthyway.co.uk,EMEA,2.8,74,n/a,n/a,n/a,n/a,⚪ n/a,⚪ n/a,66,High LCP (avg: 9.0s),MyHealthyWay Clinic and Laboratory Corp.,n/a,n/a,n/a,"Staff should undergo training on professionalism and customer service, as it is evident that many lack proper manners and professionalism. It is common to hear them shouting, often wearing frustrated ..., I'm just wondering why some agencies consider this the worst lab clinic. This is the biggest scam clinic, and it should be reported to the DOH. Also, they don’t provide a proper receipt; it’s just a p..., Laboratory staffs were very approachable and assisted me all throughout my drug test procedure.Very nice and kind!:), Last week 12/05/2024 I had blood drawn for my A1c test.  The med tech who took my blood was excellent and got it right the 1st time
As my vein is difficult to find.  My doctor recommended more tests b..., Staff are just. Talking while waiting on line. Also they do not assist patient properly.  Its taking time because of the staff that keeps on chatting gossiping.",My Healthy Way,58,14.7 s,0,14.8 s,73,3.3 s,0,3.3 s,🟡 Borderline,⚪ n/a,60,Needs Improvement,4020.5,576.7,246.10000000000002,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATKogpeuA-1uCIMM8pqHiVc0fe8dRFV2_GXBeym86sSv5pW_Osx2M6-tryv1oYQReEY9h0PqJK-n0fJ8m5Kc8VIXDokTbythcdXGk_F_oCDOp1u1z2r05iP5RtC-II9U1UwarhTaZAgyNN0TIdaZW8d8Hg1emesWu22fAYFWjI8-H9J8ZxsjOmtjo-dkkzn0ErrswEho3TZUCWDZA_VKhv-vjBmyfFeyxK2Od4GpJhURP_8zeyqWRc6P4bHx2B0fLAlTneK9OUNXMIgXnCsKQsnTaBZ4xZ9qzivIq9L2Ztn6Q60cMCe5HMz8GlslRzp31cScgkthDrwc1ZENLht6MgdgCn0yFCS_d3gShkg3RKn2L9c3Uq91bQer7G5INdTUf2G_1AZGrEwLpqGfu6CR1wKFDkgMFCAphIjEln4E2oYZ-gU7pJRtIvifeyrhgCmEA6rtuA2lJEhaLWsFFEJVxl3Mn8Sn3v3haMY-qLyy7xM8Sl7sXo5VYmyvj_IGVYVw45iX8apjjCh0iBMCsR8feXBVSEs-OveSH_tTZRhd9M_Wg3h1bsh5AhDDTH2TeeCYrHmEG9gJsD0nNVvRZ6vT4ZSytLPLraboPTMyqwgxPy7NTuaWYFswAced2MECF469V18i&key=AIzaSyDDalJbM1XIEiKesmEPZ4RKP1JKh8FL-IQ,Yes,3,14.5854948,121.0483246
alhambraonline.com,https://alhambraonline.com,EMEA,n/a,n/a,1.8 s,0.055,n/a,1.4 s,🟢 Stable,⚪ n/a,52,High LCP (avg: 8.8s),alhambraonline.com,n/a,n/a,n/a,n/a,"Alhambra Online | Recorridos al Palacio Alhambra en Granada, ES",57,13.5 s,0.042,19.0 s,48,4.0 s,0.016,4.1 s,🟡 Borderline,⚪ n/a,48,Poor,87.3,1870.1,163.7,n/a,Yes,3,n/a,n/a
walkingtoursin.com,https://walkingtoursin.com,EMEA,4.9,464,1.4 s,0.0,n/a,1.1 s,🟢 Stable,⚪ n/a,80,"High LCP (avg: 5.9s), Desktop bonus (+2)",Walking Tours in Glasgow,n/a,n/a,n/a,"I was on a work trip and a buddy booked this tour to see the Glasgow necropolis. Phenomenal. I believe the tour guides name was Mike and he was phenomenal! Nothing better than he. Pick a grave, he kne..., Gabe was our guide and art director on the Mural Walking Tour of Glasgow. Humorous and informative, he did a great job giving the  context and story being each Mural we saw and the artists who created..., The tour was great, we learned so much about the LGBT history in the city and a few other fun tidbits too!! The pacing was nice and there was consideration taken for the people in our group with mobil..., Thank you Liz for the fun and relaxed street art tour! You showed us art we wouldn’t have come across ourselves and shared funny and interesting stories about the artists. We had a great time. I can h..., My husband and I had a wonderful Glasgow City small group walking tour with Lauren in April 2025. Lauren is super informative and made Glasgow history fun and interesting to learn and understand. The ...",Walking Tours in | City Tours in Scotland & England,71,10.5 s,0.006,13.4 s,89,1.3 s,0.041,2.7 s,🟡 Borderline,⚪ n/a,77,Needs Improvement,1345.1999999999998,1197.6,139.39999999999998,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATKogpeU83zn72xM8mNkcLoTdaG_QYz1X_Qnt526x05hnNTOWw91k8f2k2-E_10W3BnhUq_sMaf-FIfA9gjQTo5pSWw7CqSayjKFjbw5JshigO9hhX1nLCuUEWpf-irXS6ViI4FyzA70dDPxi-SS-xAMC_aJgmfTNbK0CrCDFAbkhpIbDROfecyGMRKFproNuTL5CEvzxPoQGkcq0O-GQNSq7a-U0R72M7JEsU6xXTME_UPUG1Z3FccLJcb6vs5JGC_riQ_dBEf1G2gUDnK0VlWLjO3XPmRx5ere3oJm5N1lEga1erqtl_a6AXoGvevE9vtk3Ods7bc2Ddc&key=AIzaSyDDalJbM1XIEiKesmEPZ4RKP1JKh8FL-IQ,Yes,2,55.8569458,-4.2440883
oportoroadtrips.com,https://oportoroadtrips.com,EMEA,5,396,1.9 s,0.0,n/a,1.9 s,🟢 Stable,⚪ n/a,76,"High LCP (avg: 4.5s), Desktop bonus (+2)",Douro Valley Wine Tours,n/a,n/a,n/a,"This tour was my favourite part of our trip to Portugal! Beautiful views, great history, wonderful wine, and a great mix of sightseeing added in which was a happy surprise! Our group was made up of lo..., We had a fantastic trip to the Douro Valley. I loved the private tour as our guide was able to be flexible and customize our itinerary a bit.  Our guide Eduardo was very knowledgeable and gave us lots..., Diana made our journey to the Douro Valley incredible! She had a relaxing, calm air but kept us at the right pace for the day to fit everything in. Notably she made sure we got in line first for the l..., Kudos to Ivo and Joanna for leading a fun day with a  great sampling of what the Douro Valley has to offer. After an initial coffee break early in the trip to break the ice, we were off to a couple wi..., We had an absolutely amazing experience on our guided drive through the Douro Valley, and we thank Pedro so much for his presentation. From the moment we left Porto, Pedro brought the journey to life ...","Oporto Road Trips | Douro Valley Wine Tours - Wine Tour Porto, PT",67,7.5 s,0.003,14.6 s,84,1.6 s,0.004,3.1 s,🟡 Borderline,⚪ n/a,72,Needs Improvement,507.5,1249.6,144.8,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATKogpeARbilfVnWUPixO9atwEX0yQCoczEMUBGvHH8Ef9Z5ynmKOMhgrqw0pu5wdWVSMMlbJgRLaSXQ8OEMN-h3fbU76PZOeD7kOBvgXHSGaP-czTiwQUYP6xKsN-kzBqB6fqbeP2iwwEIeltkgr4vi8qjQc-FwH1vPigkDWhBjNgRc0CejJKcOxIf-ofqqnX4DUQGCSpgSMBZ5IayK1Sipxsq2QL-nhOc0arXaGOFa2wQVhKtdh0J5MAsf48Y5gTCcpywaPlJxTzW3Kcft0vN-5DGMEMRUOQ1WYfAm75sDmDR9LIuJpUiHv1GcOSJ5yCzLJ7-uWZgatfc&key=AIzaSyDDalJbM1XIEiKesmEPZ4RKP1JKh8FL-IQ,Yes,3,41.1738836,-8.5188252
tierrasaltasescocia.com,https://tierrasaltasescocia.com,EMEA,4.9,239,1.2 s,0.0,n/a,0.9 s,🟢 Stable,⚪ n/a,80,"High LCP (avg: 4.8s), Desktop bonus (+2)",Tierras Altas Escocia Ltd.,n/a,n/a,n/a,"OK, Taking this guided bus tour of the east coast of Scotland with Highland Scotland was, without exaggeration, one of the best tours I have ever taken in my life. From the first moment, everything was pe..., We loved the trip to the Highlands, Claudia told us many anecdotal stories along the way that were very entertaining and helped us get to know more of Scotland. I think it is a trip that you should do..., An absolutely unforgettable experience touring the heart of Scotland. The tour was flawless from start to finish, but what really made it stand out was our guide, RUTH. His deep knowledge of Scottish ..., Great tour! In my opinion, it's the best tour outside of Edinburgh you could take. We visited incredible natural sites, explored historic sites steeped in culture, and strolled through charming Highla...",Tours por Escocia en español. Excursiones desde Edimburgo.,71,7.8 s,0.011,13.7 s,90,1.9 s,0.001,2.8 s,🟡 Borderline,⚪ n/a,78,Needs Improvement,345.20000000000005,1258.0,148.3,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATKogpc3JHrxu-61ADF64UfawIyu41XwZF5F0FykWc8-TyEWpwoEbZUnaL2bQ9K4jxpTdw9cL1BjE1514avitUpT34PS3JVpxa0Y9P1BZ4vZuERFJUHUfsNUzqYmtYZ8Wocn2CfDDUtQANkm9MIKlxvZcGeqi7nayZ535GnLuEQaqtwEtEqA_34WluVpyKIJjTA9Drk5M8R4ll_AFZZc1qgQ3QlkGflCfTDUm8QaPpKouxCxiVNN3l3e7rMkzgxqBLdGIEMD5GhDr4kMm6FtihcY0KMsH_oDJDYDoCHguGtim7-dN-UA9BZpZOcLXVq8EQDD4SOhXFhc5I3j6QdmMCmhhhF4hgR49nevuLeX2ESVkvB9k7fwiF606wAh2htpVS1rXl7wWh-eHLwlnIMePYiAZxBTMpo1bZI___T2Zr-xjPBr2qMb0tcZ6QgUtKiHNaYyeH3wTcWTVeLKjk7qhjjcf0V0bxDYnbtupFcHwt9Z1E3q7m_i6OExCdRnqiKAcmhrdWcu4KMBy-4kf90_hsYT2Ecwgeo3YE9JCZwgzW9lbq5cz9smLffU9a5rrRmKUaPVVpc_4hMlULIUkmyoBd0vwBqqpuP2jGvAsDeyulHvONHZvX7dwJQK19qxn2fQu9F1saG-H0pe&key=AIzaSyDDalJbM1XIEiKesmEPZ4RKP1JKh8FL-IQ,Yes,3,55.952108,-3.197761
gotlandcharter.com,https://gotlandcharter.com,EMEA,4.9,83,1.6 s,0.0,n/a,1.3 s,🟢 Stable,⚪ n/a,90,"Mobile bonus (+2), Desktop bonus (+2)",Lloguer d'embarcacions per a esdeveniments a Barcelona - Gotland Charter- Boat rentals Barcelona,n/a,n/a,n/a,"Dani our skipper was amazing! Our trip was great and I’d highly recommend them. Communication was smooth between Carmen as well. Thank you all!, I can only comment on their customer service, which was very good. My 14 year old had an ear infection and my 19 yr old had a sinus infection, so we couldn’t make our Catamaran BBQ lunch. We emailed t..., Our family of 5 booked a 3 hour charter with Gotland Charters. Our captain was Danny - very professional and friendly, accommodating for our group. The Azimut 46 was spacious and comfortable, with som..., This was the highlight of our Barcelona trip! It was so much fun! There was something for everyone - you could relax, dance, lay in the sun, etc. Highly recommend!!, What an amazing day out on the yacht. Such an easy process booking in English. Our team was so happy with everything that Gotland provided. Thanks so much to you guys.","Boat Tours, Charters & Boat Rental in Barcelona",84,3.2 s,0.004,15.3 s,97,0.8 s,0.006,2.9 s,🟢 Stable,⚪ n/a,94,Good,1148.2,1196.3000000000002,146.39999999999998,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATKogpe-m8MkkUzSsMzMwYSAb1UXnURamajpLRb-EuskdYsaPeQhOU4vFIVC8qIwZNceuK-AL_WajhT-ch0C7MhokOgBvR7kPsBtx5j71lFFpNqpw_TTeXsXsklqVg1QHfjt0zpmZMZpvcIk3GIkf5ZYtUcyfZ-zngc7g8ZzaOV1fHG1XtgKFAm-ybQ4B3s0A4yeBVIQEIfxqpK8jOpsYpM_v0IBBYoKMOfIPySvjzws5W9U0TtCGb7kPY56_9yJWh8DkSaIRDoKcbK_KDVzKAhhpfmeK5qD_jMBwzO9PoOL55UQPsOJx6n48xuQZo7CdpHmbwUAGTYY&key=AIzaSyDDalJbM1XIEiKesmEPZ4RKP1JKh8FL-IQ,Yes,3,41.3859258,2.2023991
moroccanfoodadventures.com,https://moroccanfoodadventures.com,EMEA,4.8,72,n/a,n/a,n/a,n/a,⚪ n/a,⚪ n/a,71,"High LCP (avg: 16.7s), Desktop bonus (+2)",Moroccan Food Adventures,n/a,n/a,n/a,"I went on an evening food tour in Marrakech flying solo. I was joined by two other couples and a family of three and nabbed the last spot. Eight was a good number! Entertaining but we all got the good..., We had the pleasure of working with Moroccan Food Adventures during our time in Marrakech and everything was perfect.  We did the Evening Food Tour our first night to get acquainted with the Medina an..., We had the most wonderful food tour last night. Small group who were good company. Excellent and knowledgeable guide (Rashid). We tasted so many authentic foods in places we would never had known exis..., Me and my family had an incredible homecooked Iftar meal through Moroccan Food Adventures.  We learned a lot about Ramadan and Muslim faith while we ate delicious food (we loved the homemade couscous ..., We did four tours with Moroccan Food Adventures and loved every single one! Each guide was excellent and went above and beyond to make each tour excellent! Their enthusiasm and expertise made our time...",Home - Moroccan Food Adventures,57,31.4 s,0,33.4 s,85,2.0 s,0.039,2.0 s,🟡 Borderline,⚪ n/a,68,Needs Improvement,13369.599999999999,154.1,54.4,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATKogpdS0Hj--GTb-PWbDN1KEw-xytN1G3pSoJ5KZjxmoGlFDkfVgIc2s9mr7d7Dk5bibwZZp7MJNxDcEet107GuGcXtQtbbNw-IRih8PqrpDyUqWXgsiSFPcyUy4lZIbP61zuBzpspXNA0L-mjhV4ObsFfw6F5gwlVLAQChdOh9hbGTlxz7zYX3J4xWWp42UpVf57d5vlDnMYQZ8cfc9hIZ4f-aZfx-kYapIyG6t5h-KW4oo4a52mzpiAvyw8A_Pgg-X4O_FMkDGYrPylXk0q3YVMUJEeuE7CzuuC_23UeD74b2s9mJdNt3OL4mGfoHTzSbRpviqVQc6lM&key=AIzaSyDDalJbM1XIEiKesmEPZ4RKP1JKh8FL-IQ,Yes,2,31.6249811,-7.989593099999999
ecotours.cz,https://ecotours.cz,EMEA,4.9,82,2.9 s,0.0,n/a,2.5 s,🟡 Borderline,⚪ n/a,71,High LCP (avg: 3.1s),Ecotours.cz,n/a,n/a,n/a,"Hands down one of the best experiences. Luba was our guide and she was so much fun. She took us to a lot of great viewpoints that we would not have been able to see on our own or other standard tours ..., Absolutely wonderful experience, we should have done it on our first day. Our guide was very knowledgeable, kept us safe on the streets and provided insight into Czech humour by constantly joking abou..., What a beautiful way to discover Prague!
We booked a three hours Panorama Tour by e-bike. What a great way to explore and
discover Prague! Our guide was Dan, a
young student of journalism. We had a gr..., Our guide Tomáš was wonderful.  His tour was informative and he was very knowledgeable, polite and funny. He showed us parts of Prague we never would have seen on our own. Also Ecotours was great to w..., I had an absolutely wonderful experience on the Segway tour in Prague! It was my first time trying out a Segway, and I must say that the thrill of gliding through the city streets was truly exhilarati...","EcoTours | Bike, Segway, and Scooter Tours in Prague",71,5.0 s,0.003,14.8 s,71,1.2 s,0.003,4.9 s,🟡 Borderline,⚪ n/a,66,Needs Improvement,835.9,1778.9,200.0,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATKogpe6c7xL8O-ZK2TJJNTt9xb2Uf0xSldOi_GqYfIiuQYLf-nMGM_ivsHym7fIP5cc1lW3u4vznz9LF1RKHKLcP-i3cMVtOZHb6dTkm2lKQmmGCauNYZNpVoZHyufAuKsd6jo__euYEymIZBX_GdjE49MzSUY063v93wxGjFZ39OF7z313Onk1K6TlsvaaPN6kTGCIodOJtsnB07we6VsQA_ZdsNnrcmz9PFoNkfq3tRGHXEcKruMDh0Z1Eaquh6SQVob9wjuLQoQUspilkPfxgvAZO39WnJ81a_xt6fKU3txgrB6fpLMFUnYPnKfGYPEJLqM4nTyW6GA&key=AIzaSyDDalJbM1XIEiKesmEPZ4RKP1JKh8FL-IQ,Yes,2,50.08965999999999,14.4370945
macbike.nl,https://macbike.nl,EMEA,3.5,74,1.4 s,0.02,n/a,1.0 s,🟢 Stable,⚪ n/a,70,"High LCP (avg: 8.2s), Desktop bonus (+2)",MacBike,n/a,n/a,n/a,"My time with MacBike has been a very professional & satisfying experience.

I have rented from MacBike Oosterdok/ Waterlooplein many times & I can't fault the booking process, the customer interaction..., They gave me the loudest and most uncomfortable bike, as you can hear in the video, and when I returned it they didn’t exonerate charges although I mentioned the bike they gave me was broken. Also the..., Rented 2 bikes here. Opted for the additional option to pay 5 Euro extra per bike to return the bike by 10pm. I was told I simply needed to drop the keys in the box by 10pm and all would be good.

I a..., I am happy they rent ebikes which are hard to find for rental. Reserving the bikes online was easy. The required insurance charge seems quite high per bike.
Pickup was easy. The staff is friendly. The..., I like the red of the bikes - it makes me feel very seen in a city full of dangerous bikers. The staff is really nice, very helpful and even kind of cute. Especially the person with dark hair and glas...",MacBike Amsterdam | Bike Rental & Tours in Amsterdam,54,14.8 s,0.023,18.4 s,86,1.5 s,0.131,3.5 s,🟡 Borderline,⚪ n/a,67,Needs Improvement,34.6,1230.7,146.39999999999998,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATKogpeASRFWau_3VmeOEtJvkiQcNW8pOtPOe-SGGzJ3GnOMM0zOzR2gh1WfTeada9Ke0f3cTEp9gOGKASmDwu5_ATIJGMutiX84msI9kWArgtCuWJIfhZapLSpSM0GKnvFGfDHoHwh4ti5-cD5GDZOEbIqObBYkM6VKy1ro9V9xc4lHfYm872gYZxpxpbngZVrjdzvoUsvLdr5uV06qPcIUNZ3MGFOriM3R7ClP-yuOpuHdddKApiZBb3qHu8GVU9cv1Z_YqHGuyXAM7FJagrUIMU_K2xCcL7Lsa6imql6NNmE-0UakltW2t0o1yCsgoTn6p4wcqVQJ&key=AIzaSyDDalJbM1XIEiKesmEPZ4RKP1JKh8FL-IQ,Yes,3,52.3765315,4.9078247
cityrama.pt,https://cityrama.pt,EMEA,2.9,1179,2.2 s,0.016,n/a,1.6 s,🟢 Stable,⚪ n/a,44,"High LCP (avg: 6.5s), Layout Shift (avg: 0.620)",Cityrama Gray Line Portugal,n/a,n/a,n/a,"Took a tour to Fatima on a Sunday and it was one of the best experiences. We got there for the Sunday mass and were able to do all things on my bucket list. Our driver Ruiz and tour guide translator T..., Salvador was extremely helpful in explaining all the tour types and packages. We settled on the 60 minute old time car tour. Which was informative and interesting. Thank you, We had an amazing experience on our tour from Lisbon to Sintra! Everything was perfectly organized — the bus was modern and very comfortable, and the ride itself was smooth and scenic. Our guide was a..., Miguel from Applausedimension, LDA was communicative and quick to respond. We had a great tour of the highlights of Portugal with Igor as our driver. He was very accommodating and professional. 5 star..., They pretend to have an app to trace your bus live view.
We were at stop 5 from the red line and saw the bus driving as what it was informed after calling them twice to stop 6. Nothing in the app ! Ot...",Cityrama Gray Line Portugal |  Descubra Portugal conosco,34,11.3 s,1.118,19.2 s,55,1.7 s,0.122,5.7 s,🔴 High (Slow),⚪ n/a,36,Poor,625.8000000000001,2182.7,200.10000000000002,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATKogpclXNGHdTIQJbRVlrTza6KPcJbNDM-mUCfdoZESVwy2vllRA1DxT8QIZV_wqugEIZZuOaMY9RN7t0YneR-zl55_rcmA1PaMbigKycz2HU9FgK9wlRZNo-SzbCNiddM9EfszVtsZOIg4uDoOmMWEuPhF1V0vHxGxAwjBW5C9XhfCj7M16oERy78IxNRODOpRPzDGFry2k55YeM998wNlJ8qItTCXAOwLq-dCl-wYevrzZ9K85-i10SaPkSuBHb7XA4hp0rGCird6KZsYkutffFi_l5VbZKGdTm_4XWQPUfsWf4HhTE5R8b3hz5tRPDdQ5hsW5uTtFs0&key=AIzaSyDDalJbM1XIEiKesmEPZ4RKP1JKh8FL-IQ,Yes,2,38.72597379999999,-9.151387200000002
weetoasttours.com,https://weetoasttours.com,EMEA,4.5,75,2.7 s,0.027,n/a,1.5 s,🟡 Borderline,⚪ n/a,36,"High LCP (avg: 11.3s), Layout Shift (avg: 0.296)",Wee Toast Tours,n/a,n/a,n/a,"This is a great adventure if you’re looking for something unique and fun with family or friends.

A family owned business with great people working there.

A bunch of your friends get on here, get a t..., What an absolute blast. We did this at 4pm on a Saturday afternoon before heading over to Abba Voyage. 6 ladies ranging in age from 28 to 53! Made our own playlist. We dodn’t stop smiling and laughing..., Incredible customer service.
We were very lucky to have an amazing weather in London that day.
All my friends were having the time of their life.
Props to Ron and his team mate !
We can't wait to do i..., Fantastic experience with Ron as our driver and Nick as our barman. All the group had a great time with lots of booze, ability to link up and bang out the tunes, and lots and lots of public attention...., Literally the best thing I have ever done in London!! Great pre drinks great night out","The Original 15-Seat Party Bike in Belfast, UK | Wee Toast Tours",30,20.6 s,0.237,25.7 s,41,2.0 s,0.356,5.3 s,🔴 High (Slow),⚪ n/a,28,Poor,793.1,2022.0,120.5,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATKogpe2Ywnx6XvPKTszdOOaR685N87PHk_AJDHSZeWY9QKJVXEj-KcwIr7u-d9lAT4kyOf85LeZl8ss0ukYk8TCSzEfd3m8DQU_QHiPy3C-nHwRQL-lyuXOAB1BFu1COFZiiwHxb8l-rSEiuF2zstxWsyq7z-XqE8gpjQd2ls9dzri6JDT9Bgf4HQPJUqCiNGocBIGk5Fwc5Undp_VtepERRwNSHs_ba86oMIKgmealnpL2TI2d1y5fH08cN72fdDbdym-Jp4ORcqjjZQ287Cw8hRi7bOos4zBaVAXl3Zp9qN5rl98jMpPA6Di__kO14zDja4feqaCksQ4&key=AIzaSyDDalJbM1XIEiKesmEPZ4RKP1JKh8FL-IQ,Yes,2,51.511486,-0.1386541
praguecityadventures.com,https://praguecityadventures.com,EMEA,5,692,4.6 s,0.005,n/a,4.0 s,🔴 High (Slow),⚪ n/a,68,High LCP (avg: 4.4s),Prague City Adventures,n/a,n/a,n/a,"Excellent! I do Food tours in every city I visit. Some are hit & miss. This was a really good one. All the food was great, and improved as the evening went on. It lasted 4 hours, and we had about 8 di..., My wife, daughter and I took a food and beer tour with Jana and it was amazing. She tailored it to what we liked and desired plus she taught us history of the city in between restaurants and cafes. I ..., We did a 3 hour food tour and it was fantastic! Nikola was a great guide. She was very friendly and knowledgeable. We enjoyed everything we ate. We also really enjoyed learning about the Czech history..., Outstanding experience.  Highly recommend Prague City Adventures and specifically the Old Town Food Tour.  From booking and confirming our reservation, to spending the afternoon with Jirka (our local ..., Katy was our tourguide today and she was very knowledgeable about the city. Our tour was in English, and she spoke loudly and ensured everyone could hear. She gave lots of fun facts, and the walk itse...",Prague City Adventures: Small Group & Private Tours of Prague,58,7.4 s,0.047,16.9 s,78,1.3 s,0.01,3.4 s,🟡 Borderline,⚪ n/a,63,Needs Improvement,200.4,1434.6,246.2,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATKogpcyv5B-YwsfTZg43u_Yehv9wdeQB6bkPgmc9AnEwlXfLxZpynJdHmV8-bZVYxUcG-_9ofIxa5gCCBHWnJgOz4TlV7m5_ikM9F28oVWvTfrKrHZ7I4L6diUxHENFLkoJ1Q0IKtjC_CcJhsLSkb9LcvVrT_AJS0oNhF9l5SVUTC7DVm33-rJv-bq5iCTdgitqh-zxf-CZi6ljd2DnIvT0eurDxHAKY6qz1VGqyd7166LOZZV4grU8eZjyvtYaHvNkwDaFOPX8QHcolHTAX9Ql-A7qT6wOumuzgS5smFuMXANkGYCS9wB9WknGxuygz-F7kqsG7s3Ayno&key=AIzaSyDDalJbM1XIEiKesmEPZ4RKP1JKh8FL-IQ,Yes,2,50.081131,14.4200827
skualo.com,https://skualo.com,EMEA,4.9,702,2.1 s,0.01,n/a,1.5 s,🟢 Stable,⚪ n/a,63,High LCP (avg: 5.4s),Skualo Porto Cristo | Diving Center & Adventure Sports in Mallorca,n/a,n/a,n/a,"Incredible Sea Cave Adventure with Skualo – A Family Favorite!

Our family had the most unforgettable experience exploring the sea caves with Skualo in Porto Cristo! From start to finish, everything w..., 25 years after my first dive with Skualo I made it back and I was treated like family! Great crew any course available. Book in advance! Multi lingual attentive staff!  The cave swim is a must! Half d..., Just finished an adventure of a lifetime with Skualo - sea cave exploration. Mallorca has one of the most extensive cave formations on the coastline...these are caves in the sea with stalagmites and s..., Skualo supported me during the production of my first underwater film “Meet Me on the Other Side”, filmed in the beautiful bays of Porto Cristo. Jaume and his team were incredibly professional, suppor..., One of the most beautiful and fun things we have done in a long time ! From the rib there and back, to the swimming in the cave lakes, to the incredible caves themselves we would absolutely do it agai...",Skualo Porto Cristo | Diving Center & Adventure Sports in Mallorca,63,7.5 s,0.087,13.7 s,63,3.3 s,0.006,3.5 s,🟡 Borderline,⚪ n/a,58,Needs Improvement,474.6,1318.1,174.7,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATKogpcPrPfHW973gkGK8wipbR47dWpAKNbOnTaDUvpuUBlegjYDctvKo6g2QGbKiy35KYYTTqw89k1MtHq41mXfawc2JgHrCAY89HWZYv1l_UV28L2ftX1WtVSYtqborjljVrSzy0ZOFLE6niDIWWTX6PZEhrEbZlrPPiuTPwWzSvp8GIy6mf0nJcdj5oeZmtlKe7nAZVU6dOC5K-kOdlegqykWMvPwUTkebjpzxtZScjVJc-3GURs4BO0Rx0GpETwkHfHdpg-Ox6YfL61jIUid9etuZVW-pILUbuTLECR4ww_b1Hl_Skjm2z2Riy7kZ-0KB9barPwiYJI&key=AIzaSyDDalJbM1XIEiKesmEPZ4RKP1JKh8FL-IQ,Yes,2,39.5393095,3.331496199999999
ohmycodtours.com,https://ohmycodtours.com,EMEA,5,752,2.5 s,0.02,n/a,2.2 s,🟢 Stable,⚪ n/a,58,High LCP (avg: 12.1s),Oh! My Cod Food Tours,n/a,n/a,n/a,"We had such a wonderful experience with Oh! My Cod Food Tours! Our guide, Julia, told us some very interesting stories about Lisbon and its history while we ventured through the city and visited diffe..., Miguel was amazing!  He brought us to authentic Portuguese restaurants with great food selections, great wine selections and a wide variety of cultural influences of the food in Lisbon and Portugal.  ..., We had an amazing food tour in Lisbon with our fantastic guide, Livia! Our group of 13 didn’t just experience this as a typical ""tour with a guide""—it truly felt like an experience.
From the start, Li..., A must when visiting Lisbon! We had a wonderful time with Rodrigo exploring the delicious history and culture of Portuguese food. The tour was more than snacks and the majority of the items we tried w..., Our charming, loquacious and engaging guide Livia set the stage for a wonderful evening of food, history, and wine. We met and introduced ourselves. Livia explained how the walking tour and restaurant...",Oh! My Cod Tours | Lisbon Food Tours & Activities - Portugal,50,22.7 s,0,22.8 s,66,1.5 s,0.003,5.9 s,🟡 Borderline,⚪ n/a,53,Needs Improvement,7215.0,1726.6,199.5,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATKogpfsS0xQyg3eN1qwRM4eBPy9kW747frwE9jpfMQwa_LjVBSESD_jDrNmPVS7Shg2UnMkUYP41R8Yk7hqYnFrQGjDPJepQdIFaQwAlqcOx8bB2QPCboZdvtmP0E43rvy3cHa_k0t2PJcbrNFGifotdILN1zQRAcz3pFuCv8cEbhV22ogTJkVP1NupWQrQWGjP0t9y4qsU6vy5k63MxTDk2VN_iMmw1UBkZefvf5OrhhVGjzgRetJW_7iB_jK8Rk9WFe61aaY3Qq6Nr5TG9eJsDOWzltcdOUqpy0oCBZ-peFbtpjrN0XzMNLho19QHN4lafLzEcXFtQZs&key=AIzaSyDDalJbM1XIEiKesmEPZ4RKP1JKh8FL-IQ,Yes,3,38.7090649,-9.1329976
